commit_hash,author,date,message,file_name,lines_added,lines_deleted,nloc
33850c0ebd23ae615e6823993d441f46d80b1ff0,Armin Ronacher,2010-04-06 13:12:57+02:00,Initial checkin of stuff that exists so far.,.gitignore,4,0,
33850c0ebd23ae615e6823993d441f46d80b1ff0,Armin Ronacher,2010-04-06 13:12:57+02:00,Initial checkin of stuff that exists so far.,apishowcase.py,30,0,16.0
33850c0ebd23ae615e6823993d441f46d80b1ff0,Armin Ronacher,2010-04-06 13:12:57+02:00,Initial checkin of stuff that exists so far.,style.css,7,0,
33850c0ebd23ae615e6823993d441f46d80b1ff0,Armin Ronacher,2010-04-06 13:12:57+02:00,Initial checkin of stuff that exists so far.,counter.html,12,0,
33850c0ebd23ae615e6823993d441f46d80b1ff0,Armin Ronacher,2010-04-06 13:12:57+02:00,Initial checkin of stuff that exists so far.,hello.html,13,0,
33850c0ebd23ae615e6823993d441f46d80b1ff0,Armin Ronacher,2010-04-06 13:12:57+02:00,Initial checkin of stuff that exists so far.,index.html,11,0,
33850c0ebd23ae615e6823993d441f46d80b1ff0,Armin Ronacher,2010-04-06 13:12:57+02:00,Initial checkin of stuff that exists so far.,layout.html,8,0,
33850c0ebd23ae615e6823993d441f46d80b1ff0,Armin Ronacher,2010-04-06 13:12:57+02:00,Initial checkin of stuff that exists so far.,minitwit.py,228,0,172.0
33850c0ebd23ae615e6823993d441f46d80b1ff0,Armin Ronacher,2010-04-06 13:12:57+02:00,Initial checkin of stuff that exists so far.,schema.sql,21,0,19.0
33850c0ebd23ae615e6823993d441f46d80b1ff0,Armin Ronacher,2010-04-06 13:12:57+02:00,Initial checkin of stuff that exists so far.,style.css,178,0,
33850c0ebd23ae615e6823993d441f46d80b1ff0,Armin Ronacher,2010-04-06 13:12:57+02:00,Initial checkin of stuff that exists so far.,layout.html,32,0,
33850c0ebd23ae615e6823993d441f46d80b1ff0,Armin Ronacher,2010-04-06 13:12:57+02:00,Initial checkin of stuff that exists so far.,login.html,16,0,
33850c0ebd23ae615e6823993d441f46d80b1ff0,Armin Ronacher,2010-04-06 13:12:57+02:00,Initial checkin of stuff that exists so far.,register.html,19,0,
33850c0ebd23ae615e6823993d441f46d80b1ff0,Armin Ronacher,2010-04-06 13:12:57+02:00,Initial checkin of stuff that exists so far.,timeline.html,49,0,
33850c0ebd23ae615e6823993d441f46d80b1ff0,Armin Ronacher,2010-04-06 13:12:57+02:00,Initial checkin of stuff that exists so far.,flask.py,356,0,185.0
b15ad394279fc3b7f998fa56857f334a7c0156f6,Armin Ronacher,2010-04-06 13:23:18+02:00,Added setup.py and README,README,17,0,
b15ad394279fc3b7f998fa56857f334a7c0156f6,Armin Ronacher,2010-04-06 13:23:18+02:00,Added setup.py and README,setup.py,19,0,17.0
4ec7d2a0d8eac4f915dc0d38a886cd57045bb0c4,Armin Ronacher,2010-04-06 16:02:14+02:00,"Started working on documentation.

So far just the stable parts :)",.gitignore,1,0,
4ec7d2a0d8eac4f915dc0d38a886cd57045bb0c4,Armin Ronacher,2010-04-06 16:02:14+02:00,"Started working on documentation.

So far just the stable parts :)",.gitignore,1,0,
4ec7d2a0d8eac4f915dc0d38a886cd57045bb0c4,Armin Ronacher,2010-04-06 16:02:14+02:00,"Started working on documentation.

So far just the stable parts :)",Makefile,118,0,
4ec7d2a0d8eac4f915dc0d38a886cd57045bb0c4,Armin Ronacher,2010-04-06 16:02:14+02:00,"Started working on documentation.

So far just the stable parts :)",api.rst,15,0,
4ec7d2a0d8eac4f915dc0d38a886cd57045bb0c4,Armin Ronacher,2010-04-06 16:02:14+02:00,"Started working on documentation.

So far just the stable parts :)",conf.py,236,0,19.0
4ec7d2a0d8eac4f915dc0d38a886cd57045bb0c4,Armin Ronacher,2010-04-06 16:02:14+02:00,"Started working on documentation.

So far just the stable parts :)",index.rst,11,0,
4ec7d2a0d8eac4f915dc0d38a886cd57045bb0c4,Armin Ronacher,2010-04-06 16:02:14+02:00,"Started working on documentation.

So far just the stable parts :)",make.bat,139,0,
4ec7d2a0d8eac4f915dc0d38a886cd57045bb0c4,Armin Ronacher,2010-04-06 16:02:14+02:00,"Started working on documentation.

So far just the stable parts :)",minitwit.py,1,1,172.0
4ec7d2a0d8eac4f915dc0d38a886cd57045bb0c4,Armin Ronacher,2010-04-06 16:02:14+02:00,"Started working on documentation.

So far just the stable parts :)",flask.py,119,8,185.0
44b42e0fbd93d86e0f4e929bda8e5fb63e81035d,Armin Ronacher,2010-04-06 16:16:34+02:00,Added a README file for MiniTwit.,README,21,0,
3b36bef2e6165bb4dad73d17f23ee1879e99f497,Armin Ronacher,2010-04-08 19:03:15+02:00,"Improved documentation, added a contextmanager for request binding",api.rst,152,1,
3b36bef2e6165bb4dad73d17f23ee1879e99f497,Armin Ronacher,2010-04-08 19:03:15+02:00,"Improved documentation, added a contextmanager for request binding",conf.py,6,1,23.0
3b36bef2e6165bb4dad73d17f23ee1879e99f497,Armin Ronacher,2010-04-08 19:03:15+02:00,"Improved documentation, added a contextmanager for request binding",minitwit.py,2,2,172.0
3b36bef2e6165bb4dad73d17f23ee1879e99f497,Armin Ronacher,2010-04-08 19:03:15+02:00,"Improved documentation, added a contextmanager for request binding",flask.py,38,23,186.0
4aa76212d1be9b17a57249549c2a73fb10b6cda8,Armin Ronacher,2010-04-09 01:32:39+02:00,Updated documentation.  Starting to look pretty good,api.rst,20,0,
4aa76212d1be9b17a57249549c2a73fb10b6cda8,Armin Ronacher,2010-04-09 01:32:39+02:00,Updated documentation.  Starting to look pretty good,index.rst,2,0,
4aa76212d1be9b17a57249549c2a73fb10b6cda8,Armin Ronacher,2010-04-09 01:32:39+02:00,Updated documentation.  Starting to look pretty good,installation.rst,6,0,
4aa76212d1be9b17a57249549c2a73fb10b6cda8,Armin Ronacher,2010-04-09 01:32:39+02:00,Updated documentation.  Starting to look pretty good,quickstart.rst,312,0,
4aa76212d1be9b17a57249549c2a73fb10b6cda8,Armin Ronacher,2010-04-09 01:32:39+02:00,Updated documentation.  Starting to look pretty good,minitwit.py,3,3,172.0
4aa76212d1be9b17a57249549c2a73fb10b6cda8,Armin Ronacher,2010-04-09 01:32:39+02:00,Updated documentation.  Starting to look pretty good,flask.py,16,1,187.0
625eba4bb403296a8bbc1e72cc9cf4a5126f6c02,Armin Ronacher,2010-04-09 12:49:01+02:00,Heavily improved quickstart section.,quickstart.rst,224,0,
4edec48b74dbb9d571e927b69b24c30ec0624975,Armin Ronacher,2010-04-09 13:13:39+02:00,Added installation docs,installation.rst,98,1,
727c701686c18c4a27ca523eb0c5862d497be24e,Armin Ronacher,2010-04-09 13:40:05+02:00,And finished documentation for most parts.,api.rst,2,0,
727c701686c18c4a27ca523eb0c5862d497be24e,Armin Ronacher,2010-04-09 13:40:05+02:00,And finished documentation for most parts.,index.rst,7,3,
727c701686c18c4a27ca523eb0c5862d497be24e,Armin Ronacher,2010-04-09 13:40:05+02:00,And finished documentation for most parts.,patterns.rst,166,0,
727c701686c18c4a27ca523eb0c5862d497be24e,Armin Ronacher,2010-04-09 13:40:05+02:00,And finished documentation for most parts.,quickstart.rst,23,0,
727c701686c18c4a27ca523eb0c5862d497be24e,Armin Ronacher,2010-04-09 13:40:05+02:00,And finished documentation for most parts.,minitwit.py,1,1,172.0
a9d4ea81da28ee9c894bf9d45adc4cfa9d52fddc,Armin Ronacher,2010-04-09 13:46:12+02:00,Flashing -> patterns documentation,patterns.rst,82,0,
a9d4ea81da28ee9c894bf9d45adc4cfa9d52fddc,Armin Ronacher,2010-04-09 13:46:12+02:00,Flashing -> patterns documentation,quickstart.rst,4,68,
7d6b8e9ab3e738d69e39ad53a7c0f6a552d5284a,Armin Ronacher,2010-04-09 13:56:47+02:00,Documented non-decorator uses of registation.,flask.py,31,5,188.0
3d719f35f5c1ee4ce3dc01fb2167ef49c0180cf6,Armin Ronacher,2010-04-10 15:49:15+02:00,"Added docs, fixed some bugs I introduced last commit",logo-full.svg,329,0,
3d719f35f5c1ee4ce3dc01fb2167ef49c0180cf6,Armin Ronacher,2010-04-10 15:49:15+02:00,"Added docs, fixed some bugs I introduced last commit",flask.png,0,0,
3d719f35f5c1ee4ce3dc01fb2167ef49c0180cf6,Armin Ronacher,2010-04-10 15:49:15+02:00,"Added docs, fixed some bugs I introduced last commit",logo-full.png,0,0,
3d719f35f5c1ee4ce3dc01fb2167ef49c0180cf6,Armin Ronacher,2010-04-10 15:49:15+02:00,"Added docs, fixed some bugs I introduced last commit",sidebarintro.html,7,0,
3d719f35f5c1ee4ce3dc01fb2167ef49c0180cf6,Armin Ronacher,2010-04-10 15:49:15+02:00,"Added docs, fixed some bugs I introduced last commit",sidebarlogo.html,3,0,
3d719f35f5c1ee4ce3dc01fb2167ef49c0180cf6,Armin Ronacher,2010-04-10 15:49:15+02:00,"Added docs, fixed some bugs I introduced last commit",flasky.css_t,239,0,
3d719f35f5c1ee4ce3dc01fb2167ef49c0180cf6,Armin Ronacher,2010-04-10 15:49:15+02:00,"Added docs, fixed some bugs I introduced last commit",theme.conf,3,0,
3d719f35f5c1ee4ce3dc01fb2167ef49c0180cf6,Armin Ronacher,2010-04-10 15:49:15+02:00,"Added docs, fixed some bugs I introduced last commit",becomingbig.rst,54,0,
3d719f35f5c1ee4ce3dc01fb2167ef49c0180cf6,Armin Ronacher,2010-04-10 15:49:15+02:00,"Added docs, fixed some bugs I introduced last commit",conf.py,10,6,30.0
3d719f35f5c1ee4ce3dc01fb2167ef49c0180cf6,Armin Ronacher,2010-04-10 15:49:15+02:00,"Added docs, fixed some bugs I introduced last commit",flaskext.py,96,0,76.0
3d719f35f5c1ee4ce3dc01fb2167ef49c0180cf6,Armin Ronacher,2010-04-10 15:49:15+02:00,"Added docs, fixed some bugs I introduced last commit",foreword.rst,57,0,
3d719f35f5c1ee4ce3dc01fb2167ef49c0180cf6,Armin Ronacher,2010-04-10 15:49:15+02:00,"Added docs, fixed some bugs I introduced last commit",index.rst,6,0,
3d719f35f5c1ee4ce3dc01fb2167ef49c0180cf6,Armin Ronacher,2010-04-10 15:49:15+02:00,"Added docs, fixed some bugs I introduced last commit",flask.py,4,4,188.0
9dfab582d065521e9350327801ed2c5ced1c8fa1,Armin Ronacher,2010-04-10 16:00:13+02:00,Updated README,README,14,1,
8e9bd5f009bb8756a2a7d76a4b792323eeee49d6,Armin Ronacher,2010-04-10 16:01:14+02:00,Fixed a typo,index.rst,1,1,
4e1b3e1134eb478563bc434d794085d0a412cb84,Armin Ronacher,2010-04-10 17:26:49+02:00,set secret key :),quickstart.rst,3,0,
05f36c7f7e2df36ee28f90d99632162579b1287c,Armin Ronacher,2010-04-11 02:20:10+02:00,Heavily improved documentation,sidebarintro.html,5,0,
05f36c7f7e2df36ee28f90d99632162579b1287c,Armin Ronacher,2010-04-11 02:20:10+02:00,Heavily improved documentation,flasky.css_t,74,20,
05f36c7f7e2df36ee28f90d99632162579b1287c,Armin Ronacher,2010-04-11 02:20:10+02:00,Heavily improved documentation,api.rst,7,1,
05f36c7f7e2df36ee28f90d99632162579b1287c,Armin Ronacher,2010-04-11 02:20:10+02:00,Heavily improved documentation,deploying.rst,266,0,
05f36c7f7e2df36ee28f90d99632162579b1287c,Armin Ronacher,2010-04-11 02:20:10+02:00,Heavily improved documentation,flaskext.py,5,15,68.0
