lines_added,lines_deleted,nloc,code_churn,net_change,previous_changes,developer_count,is_bug_fix
30,0,16.0,30,30,0,1,0
228,0,172.0,228,228,0,7,0
356,0,185.0,356,356,0,10,0
19,0,17.0,19,19,0,36,0
236,0,19.0,236,236,0,15,0
1,1,172.0,2,0,1,7,0
119,8,185.0,127,111,1,10,0
6,1,23.0,7,5,1,15,0
2,2,172.0,4,0,2,7,0
38,23,186.0,61,15,2,10,0
3,3,172.0,6,0,3,7,0
16,1,187.0,17,15,3,10,0
1,1,172.0,2,0,4,7,0
31,5,188.0,36,26,4,10,0
4,4,188.0,8,0,5,10,1
10,6,30.0,16,4,2,15,1
96,0,76.0,96,96,0,1,1
5,15,68.0,20,-10,1,1,0
72,1,188.0,73,71,6,10,0
4,3,15.0,7,1,1,36,1
1,1,15.0,2,0,2,36,1
30,8,173.0,38,22,5,7,0
1,1,173.0,2,0,6,7,0
145,0,97.0,145,145,0,3,0
2,3,187.0,5,-1,7,10,0
0,1,96.0,1,-1,1,3,0
24,12,187.0,36,12,8,10,0
9,9,173.0,18,0,7,7,1
28,4,197.0,32,24,9,10,1
74,0,53.0,74,74,0,10,0
8,0,60.0,8,8,1,10,0
2,3,17.0,5,-1,3,36,0
179,0,148.0,179,179,2,10,0
5,5,197.0,10,0,10,10,0
9,0,156.0,9,9,3,10,0
24,3,211.0,27,21,11,10,0
103,0,64.0,103,103,0,7,0
64,0,39.0,64,64,0,4,0
0,2,62.0,2,-2,1,7,0
1,0,212.0,1,1,12,10,0
2,5,61.0,7,-3,2,7,0
5,3,40.0,8,2,1,4,0
9,2,216.0,11,7,13,10,1
11,7,215.0,18,4,14,10,1
2,2,156.0,4,0,4,10,1
13,12,215.0,25,1,15,10,1
2,2,61.0,4,0,3,7,1
2,2,173.0,4,0,8,7,1
2,1,31.0,3,1,3,15,0
50,0,28.0,50,50,4,36,0
1,1,28.0,2,0,5,36,0
20,3,224.0,23,17,16,10,1
14,0,169.0,14,14,5,10,1
0,1,223.0,1,-1,17,10,0
0,1,222.0,1,-1,18,10,0
30,1,225.0,31,29,19,10,0
6,0,174.0,6,6,6,10,0
0,1,39.0,1,-1,2,4,0
2,3,224.0,5,-1,20,10,0
1,3,171.0,4,-2,9,7,1
2,1,32.0,3,1,4,15,0
